,lat,lng,city,country,Hotel Name,Hotel Address
0,9.49,50.81,bandarbeyla,SO,REER XOOSHLE GROUP,Bandarbeyla
1,9.34,2.63,taolanaro,BJ,Kobourou City Hotel,"RNIE2, Parakou"
2,20.52,-13.05,marathon,MR,Odar kanawal,"Autoroute Akjoujt, Atar"
3,24.47,39.61,lincoln,SA,Anwar Al Madinah Mövenpick Hotel,سعد بن معاذ، Medina
4,23.17,-97.95,souillac,MX,,
5,18.74,7.39,gat,NE,Hôtel Telwa Bungalow,"Route Tahoua Arlit, RN25, Agadez"
6,35.26,117.97,along,CN,Inzone Garland Hotel Qishi Culture,CN Shandong 临沂 费县奇石城路与荣和路交叉口西（奇石城东门
7,-26.79,-60.44,saint-francois,AR,Hotel Gualok,"San Martín 1198, Sáenz Peña"
8,22.93,57.53,kulhudhuffushi,OM,Antique Inn - Nizwa,Nizwa OM
9,-25.17,45.05,new ulm,MG,,
