,city,temp,cloudiness,country,date,humidity,lat,lng,max temp,wind speed
0,jamestown,44.83,75.0,US,1586232291.0,26.0,42.1,-79.24,48.0,1.34
1,dikson,-2.18,52.0,RU,1586232530.0,92.0,73.51,80.55,-2.18,9.55
2,bandarbeyla,78.8,0.0,SO,1586232531.0,67.0,9.49,50.81,78.8,5.21
3,pital,70.14,91.0,CO,1586232532.0,59.0,2.27,-75.8,70.14,1.45
4,port elizabeth,57.2,60.0,ZA,1586232533.0,47.0,-33.92,25.57,57.2,23.04
5,geraldton,84.2,59.0,AU,1586232535.0,45.0,-28.77,114.6,84.2,8.05
6,busselton,83.93,32.0,AU,1586232536.0,22.0,-33.65,115.33,84.99,11.32
7,mataura,54.0,41.0,NZ,1586232537.0,75.0,-46.19,168.86,54.0,21.0
8,asosa,73.78,56.0,ET,1586232538.0,28.0,10.07,34.53,73.78,3.09
9,waingapu,87.19,100.0,ID,1586232540.0,62.0,-9.66,120.26,87.19,4.27
10,tuktoyaktuk,17.6,75.0,CA,1586232541.0,85.0,69.45,-133.04,17.6,13.87
11,mehamn,30.72,75.0,NO,1586232542.0,86.0,71.04,27.85,33.8,13.87
12,ushuaia,48.2,75.0,AR,1586232543.0,70.0,-54.8,-68.3,48.2,3.36
13,taolanaro,78.62,0.0,BJ,1586232545.0,65.0,9.34,2.63,78.62,8.61
14,parakou,80.08,40.0,MU,1586232546.0,78.0,-20.41,57.7,82.0,11.41
15,mahebourg,27.66,1.0,US,1586232548.0,46.0,59.64,-151.55,30.99,12.75
16,hunza,76.5,92.0,PY,1586232549.0,75.0,-19.93,-60.77,76.5,13.11
17,homer,73.4,90.0,TO,1586232550.0,94.0,-21.2,-175.2,73.4,5.82
18,mayor pablo lagerenza,39.87,0.0,MN,1586232551.0,34.0,46.68,113.28,39.87,6.35
19,vaini,50.0,100.0,CL,1586232553.0,81.0,-53.15,-70.92,50.0,18.34
20,baruun-urt,51.8,0.0,HR,1586232554.0,43.0,43.44,16.69,51.8,5.68
21,punta arenas,34.18,100.0,RU,1586232555.0,90.0,50.68,156.12,34.18,38.56
22,omis,60.4,75.0,AU,1586232397.0,51.0,-42.88,147.33,63.0,6.93
23,severo-kurilsk,83.03,96.0,ID,1586232558.0,68.0,-3.8,102.27,83.03,6.78
24,hobart,60.76,19.0,MX,1586232559.0,66.0,27.98,-114.06,60.76,11.61
25,bengkulu,67.28,74.0,ZM,1586232560.0,55.0,-15.75,26.44,67.28,1.45
26,guerrero negro,24.8,40.0,CA,1586232561.0,62.0,54.27,-110.73,24.8,5.82
27,namwala,87.4,40.0,MY,1586232563.0,74.0,5.33,103.14,87.8,4.7
28,bonnyville,61.47,75.0,JP,1586232564.0,54.0,35.73,140.83,64.0,5.82
29,kuala terengganu,78.46,0.0,NE,1586232565.0,15.0,18.69,12.92,78.46,13.69
30,hasaki,43.56,90.0,US,1586232566.0,29.0,42.6,-73.97,48.2,6.93
31,mys shmidta,59.97,75.0,AU,1586232568.0,51.0,-42.78,147.06,63.0,6.93
32,bilma,47.95,20.0,US,1586232569.0,76.0,34.64,-120.46,51.8,4.7
33,albany,53.55,0.0,AR,1586232570.0,42.0,-43.3,-65.1,53.55,12.93
34,new norfolk,80.28,100.0,VU,1586232571.0,84.0,-19.55,169.27,80.28,24.09
35,lompoc,48.24,90.0,US,1586232573.0,76.0,44.9,-89.77,48.99,8.05
36,rawson,70.97,75.0,US,1586232574.0,65.0,19.73,-155.09,80.6,5.82
37,sentyabrskiy,17.13,91.0,GL,1586232575.0,83.0,65.42,-52.9,17.13,9.15
38,isangel,30.2,100.0,GL,1586232577.0,92.0,65.61,-37.64,30.2,10.29
39,marathon,75.7,0.0,MR,1586232578.0,21.0,20.52,-13.05,75.7,9.51
40,nizhneyansk,45.57,81.0,FO,1586232579.0,73.0,61.47,-6.81,45.57,25.34
41,hilo,64.4,75.0,PT,1586232581.0,93.0,38.73,-27.07,64.4,19.15
42,maniitsoq,54.0,43.0,NZ,1586232582.0,75.0,-46.6,168.33,54.0,21.0
43,tasiilaq,41.0,43.0,FO,1586232583.0,93.0,62.23,-6.59,41.0,25.28
44,atar,89.29,20.0,MY,1586232308.0,62.0,5.41,100.34,89.6,5.82
45,vagur,32.22,100.0,RU,1586232585.0,98.0,65.7,82.47,32.22,5.64
46,praia da vitoria,82.47,3.0,PF,1586232587.0,77.0,-9.8,-139.03,82.47,16.31
47,bluff,84.2,75.0,CK,1586232588.0,74.0,-21.21,-159.78,84.2,5.82
48,klaksvik,47.84,1.0,US,1586232589.0,56.0,41.37,-73.41,55.0,4.34
49,georgetown,27.0,0.0,RU,1586232590.0,63.0,50.95,43.74,27.0,8.01
50,krasnoselkup,14.0,90.0,US,1586232463.0,78.0,64.84,-147.72,16.0,9.17
51,atuona,80.33,40.0,MU,1586232593.0,78.0,-20.34,57.76,82.0,11.41
52,avarua,56.44,100.0,NZ,1586232539.0,81.0,-45.87,170.5,57.0,1.01
53,bethel,82.4,40.0,PA,1586232596.0,69.0,9.52,-79.03,82.4,8.05
54,yelan,6.8,90.0,US,1586232302.0,77.0,71.29,-156.79,6.8,19.46
55,tsihombe,83.14,40.0,VN,1586232598.0,69.0,13.08,109.3,83.14,7.09
56,fairbanks,24.8,90.0,CA,1586232599.0,73.0,49.78,-74.85,24.8,5.82
57,bambous virieux,71.78,75.0,AU,1586232521.0,83.0,-28.87,153.57,75.2,12.75
58,dunedin,51.8,66.0,ZA,1586232602.0,81.0,-34.53,20.04,51.8,9.17
59,tubuala,60.49,1.0,US,1586232603.0,82.0,40.8,-96.67,64.0,10.29
60,barrow,75.94,75.0,US,1586232604.0,94.0,26.48,-97.78,78.01,4.7
61,tuy hoa,6.46,0.0,GL,1586232606.0,74.0,77.48,-69.36,6.46,5.86
62,attawapiskat,23.0,41.0,GL,1586232607.0,49.0,60.72,-46.03,23.0,1.12
63,chapais,53.92,75.0,AR,1586232609.0,87.0,-38.0,-57.56,55.99,5.82
64,ballina,78.8,21.0,AU,1586232610.0,69.0,-24.87,113.63,78.8,14.99
65,bredasdorp,60.46,73.0,CN,1586232611.0,32.0,38.07,116.57,60.46,19.75
66,a,76.42,99.0,PF,1586232612.0,69.0,-23.12,-134.97,76.42,8.48
67,lincoln,77.0,0.0,SA,1586232335.0,36.0,24.47,39.61,77.0,2.3
68,raymondville,80.47,100.0,GF,1586232615.0,82.0,5.38,-52.95,80.47,13.96
69,krasnoyarsk-66,59.81,46.0,ZA,1586232617.0,56.0,-33.59,26.89,59.81,29.26
70,qaanaaq,53.01,87.0,ZA,1586232618.0,75.0,-34.42,19.23,53.01,1.01
71,qaqortoq,76.5,81.0,CM,1586232619.0,84.0,2.95,9.92,76.5,4.68
72,mar del plata,8.6,53.0,GL,1586232620.0,60.0,69.22,-51.1,8.6,4.7
73,carnarvon,62.6,75.0,JP,1586232622.0,38.0,36.3,139.8,64.99,6.93
74,botou,87.8,40.0,IN,1586232623.0,74.0,16.57,81.2,87.8,2.24
75,rikitea,80.6,100.0,GF,1586232624.0,88.0,4.93,-52.33,80.6,5.82
76,medina,80.01,35.0,EC,1586232626.0,87.0,-0.74,-90.35,80.01,4.74
77,sinnamary,91.4,75.0,AU,1586232627.0,49.0,-12.49,130.98,91.4,8.05
78,port alfred,42.8,90.0,US,1586232628.0,34.0,41.59,-109.2,42.8,3.36
79,hermanus,9.77,48.0,RU,1586232629.0,86.0,69.38,178.42,9.77,4.52
80,kribi,67.12,41.0,BR,1586232631.0,80.0,-30.18,-50.21,67.12,19.84
81,ilulissat,29.55,100.0,RU,1586232632.0,97.0,71.92,114.08,29.55,6.04
82,marcona,24.55,75.0,CA,1586232364.0,68.0,62.46,-114.35,25.0,8.05
83,oyama,56.73,0.0,NP,1586232634.0,14.0,29.27,82.18,56.73,1.63
84,kaikalur,23.95,100.0,RU,1586232636.0,92.0,59.97,42.76,23.95,5.95
85,cayenne,37.4,1.0,US,1586232637.0,32.0,57.79,-152.41,37.4,9.17
86,amderma,73.26,0.0,ML,1586232638.0,15.0,20.2,1.01,73.26,11.56
87,puerto ayora,33.8,5.0,CA,1586232804.0,50.0,48.47,-81.33,33.8,6.93
88,palmerston,65.66,40.0,PT,1586232805.0,93.0,33.08,-16.33,66.2,2.24
89,rock springs,4.33,55.0,RU,1586232806.0,92.0,70.63,147.92,4.33,13.4
90,leningradskiy,23.0,90.0,CA,1586232807.0,73.0,55.74,-97.86,23.0,10.29
91,cidreira,83.41,39.0,LK,1586232809.0,67.0,7.71,81.69,83.41,3.6
92,saskylakh,76.37,75.0,US,1586232810.0,78.0,21.35,-158.09,78.8,11.41
93,yellowknife,65.86,75.0,ES,1586232811.0,72.0,28.12,-16.73,70.0,4.7
94,jumla,10.0,0.0,GL,1586232813.0,92.0,72.79,-56.15,10.0,9.8
95,totma,37.4,7.0,RU,1586232814.0,32.0,66.0,111.5,37.4,6.71
96,kodiak,42.64,24.0,GB,1586232815.0,93.0,50.15,-5.07,46.0,11.41
97,mendahara,87.8,75.0,PW,1586232817.0,66.0,7.04,134.26,87.8,10.29
98,tessalit,49.28,90.0,US,1586232818.0,93.0,40.6,-124.16,51.01,8.97
99,timmins,83.26,97.0,KI,1586232819.0,69.0,3.07,172.79,83.26,3.33
100,camacha,55.0,47.0,NZ,1586232821.0,72.0,-46.13,167.68,55.0,21.0
101,chokurdakh,33.28,62.0,RU,1586232822.0,86.0,59.7,30.79,33.8,4.47
102,thompson,71.6,54.0,AU,1586232824.0,60.0,-33.87,121.9,71.6,12.75
103,batticaloa,81.86,100.0,NU,1586232716.0,73.0,-19.06,-169.92,81.86,8.84
104,makakilo city,52.0,40.0,ZA,1586232578.0,81.0,-33.93,18.42,54.0,4.7
105,adeje,23.0,90.0,CA,1586232827.0,92.0,55.1,-105.28,23.0,6.93
106,upernavik,62.6,90.0,PT,1586232829.0,100.0,37.72,-25.43,62.6,12.75
107,aykhal,72.34,8.0,AO,1586232830.0,67.0,-15.2,12.15,72.34,5.32
108,falmouth,56.57,75.0,JP,1586232831.0,50.0,34.67,138.95,57.2,8.05
109,kloulklubed,51.26,0.0,CL,1586232833.0,70.0,-37.62,-73.65,51.26,14.12
110,fortuna,50.0,0.0,AF,1586232763.0,87.0,34.5,62.0,50.0,3.36
